GEO_ID,NAME,total_pop,Y21_Total
0500000US08001,"Adams County, Colorado",504108,350291
0500000US08003,"Alamosa County, Colorado",16107,10897
0500000US08005,"Arapahoe County, Colorado",644560,470632
0500000US08007,"Archuleta County, Colorado",13253,10571
0500000US08009,"Baca County, Colorado",3561,2716
0500000US08011,"Bent County, Colorado",5787,4817
0500000US08013,"Boulder County, Colorado",322510,237978
0500000US08014,"Broomfield County, Colorado",67886,50394
0500000US08015,"Chaffee County, Colorado",19557,16107
0500000US08017,"Cheyenne County, Colorado",2026,1365
0500000US08019,"Clear Creek County, Colorado",9495,7580
0500000US08021,"Conejos County, Colorado",8128,5641
0500000US08023,"Costilla County, Colorado",3745,2945
0500000US08025,"Crowley County, Colorado",5754,4287
0500000US08027,"Custer County, Colorado",4776,3968
0500000US08029,"Delta County, Colorado",30565,23332
0500000US08031,"Denver County, Colorado",705576,544585
0500000US08033,"Dolores County, Colorado",1857,1428
0500000US08035,"Douglas County, Colorado",336041,235704
0500000US08037,"Eagle County, Colorado",54681,40453
0500000US08039,"Elbert County, Colorado",25717,19321
0500000US08041,"El Paso County, Colorado",698974,498766
0500000US08043,"Fremont County, Colorado",47321,38947
0500000US08045,"Garfield County, Colorado",59055,42187
0500000US08047,"Gilpin County, Colorado",6018,5063
0500000US08049,"Grand County, Colorado",15303,12185
0500000US08051,"Gunnison County, Colorado",16802,12539
0500000US08053,"Hinsdale County, Colorado",857,719
0500000US08055,"Huerfano County, Colorado",6679,5474
0500000US08057,"Jackson County, Colorado",1261,1018
0500000US08059,"Jefferson County, Colorado",574798,440294
0500000US08061,"Kiowa County, Colorado",1489,1070
0500000US08063,"Kit Carson County, Colorado",7447,5457
0500000US08065,"Lake County, Colorado",7751,6181
0500000US08067,"La Plata County, Colorado",55617,42536
0500000US08069,"Larimer County, Colorado",344786,256180
0500000US08071,"Las Animas County, Colorado",14266,11223
0500000US08073,"Lincoln County, Colorado",5585,4437
0500000US08075,"Logan County, Colorado",22380,16177
0500000US08077,"Mesa County, Colorado",151218,111385
0500000US08079,"Mineral County, Colorado",824,718
0500000US08081,"Moffat County, Colorado",13127,9532
0500000US08083,"Montezuma County, Colorado",26031,19669
0500000US08085,"Montrose County, Colorado",41686,31373
0500000US08087,"Morgan County, Colorado",28517,19973
0500000US08089,"Otero County, Colorado",18282,12960
0500000US08091,"Ouray County, Colorado",4796,3979
0500000US08093,"Park County, Colorado",17867,14603
0500000US08095,"Phillips County, Colorado",4290,2917
0500000US08097,"Pitkin County, Colorado",17926,14548
0500000US08099,"Prowers County, Colorado",12022,8196
0500000US08101,"Pueblo County, Colorado",165982,121485
0500000US08103,"Rio Blanco County, Colorado",6384,4452
0500000US08105,"Rio Grande County, Colorado",11305,8152
0500000US08107,"Routt County, Colorado",25072,19574
0500000US08109,"Saguache County, Colorado",6592,5013
0500000US08111,"San Juan County, Colorado",589,502
0500000US08113,"San Miguel County, Colorado",8049,6439
0500000US08115,"Sedgwick County, Colorado",2322,1648
0500000US08117,"Summit County, Colorado",30649,24818
0500000US08119,"Teller County, Colorado",24524,19666
0500000US08121,"Washington County, Colorado",4868,3657
0500000US08123,"Weld County, Colorado",305345,211298
0500000US08125,"Yuma County, Colorado",10003,7110
