lat,lon,2017/08/16,
35.0,260.0,50.132652, 
35.0,260.04166,50.84264, 
35.0,260.08334,51.373142, 
35.0,260.125,51.54016, 
35.0,260.16666,51.672974, 
35.0,260.20834,51.376335, 
35.0,260.25,50.957207, 
35.0,260.29166,50.77017, 
35.0,260.33334,50.567368, 
35.0,260.375,50.73276, 
35.0,260.41666,50.559334, 
35.0,260.45834,50.555557, 
35.0,260.5,50.557877, 
35.0,260.54166,50.84454, 
35.0,260.58334,50.825317, 
35.0,260.625,50.922333, 
35.0,260.66666,50.964867, 
35.0,260.70834,51.007217, 
35.0,260.75,50.80899, 
35.0,260.79166,50.37502, 
35.0,260.83334,49.73581, 
35.0,260.875,48.84829, 
35.0,260.91666,48.643627, 
35.0,260.95834,48.26739, 
35.0,261.0,48.646538, 
35.0,261.04166,49.025604, 
35.0,261.08334,49.275154, 
35.0,261.125,49.508858, 
35.0,261.16666,49.668518, 
35.0,261.20834,49.70555, 
35.0,261.25,50.16445, 
35.0,261.29166,50.121735, 
35.0,261.33334,50.03885, 
35.0,261.375,50.065353, 
35.0,261.41666,50.17249, 
35.0,261.45834,50.42358, 
35.0,261.5,50.51409, 
35.0,261.54166,51.00132, 
35.0,261.58334,51.678326, 
35.0,261.625,52.058483, 
35.0,261.66666,52.676723, 
35.0,261.70834,53.722317, 
35.0,261.75,54.127422, 
35.0,261.79166,54.39512, 
35.0,261.83334,54.473072, 
35.0,261.875,54.341885, 
35.0,261.91666,54.07985, 
35.0,261.95834,54.31113, 
35.0,262.0,54.541523, 
35.0,262.04166,54.7281, 
35.0,262.08334,55.354527, 
35.0,262.125,55.19983, 
35.0,262.16666,54.948498, 
35.0,262.20834,54.772255, 
35.0,262.25,54.97927, 
35.0,262.29166,55.294495, 
35.0,262.33334,55.567677, 
35.0,262.375,56.037518, 
35.0,262.41666,56.426014, 
35.0,262.45834,57.22043, 
35.0,262.5,58.094955, 
35.0,262.54166,59.35009, 
35.0,262.58334,60.498203, 
35.0,262.625,61.48214, 
35.0,262.66666,61.70008, 
35.0,262.70834,61.603928, 
35.0,262.75,60.865646, 
35.0,262.79166,59.787094, 
35.0,262.83334,59.043102, 
35.0,262.875,58.431114, 
35.0,262.91666,58.31921, 
35.0,262.95834,58.4173, 
35.0,263.0,58.890686, 
35.0,263.04166,59.59612, 
35.0,263.08334,60.04776, 
35.0,263.125,60.103504, 
35.0,263.16666,60.01712, 
35.0,263.20834,59.865772, 
35.0,263.25,60.348213, 
35.0,263.29166,60.993378, 
35.0,263.33334,62.10517, 
35.0,263.375,62.92425, 
35.0,263.41666,63.301903, 
35.0,263.45834,63.912666, 
35.0,263.5,64.04629, 
35.0,263.54166,63.856903, 
35.0,263.58334,63.555275, 
35.0,263.625,63.198338, 
35.0,263.66666,63.059383, 
35.0,263.70834,63.12135, 
35.0,263.75,63.34323, 
35.0,263.79166,63.559917, 
35.0,263.83334,63.94938, 
35.0,263.875,64.56432, 
35.0,263.91666,65.346504, 
35.0,263.95834,66.05614, 
35.0,264.0,66.74282, 
35.0,264.04166,67.37916, 
35.0,264.08334,68.28337, 
35.0,264.125,69.40726, 
35.0,264.16666,70.152054, 
35.0,264.20834,70.56004, 
35.0,264.25,70.87235, 
35.0,264.29166,71.17986, 
35.0,264.33334,71.0953, 
35.0,264.375,71.16599, 
35.0,264.41666,71.21407, 
35.0,264.45834,71.692764, 
35.0,264.5,71.84678, 
35.0,264.54166,72.11469, 
35.0,264.58334,72.86231, 
35.0,264.625,73.062515, 
35.0,264.66666,73.296364, 
35.0,264.70834,74.547325, 
35.0,264.75,75.023346, 
35.0,264.79166,75.263084, 
35.0,264.83334,76.15765, 
35.0,264.875,74.67212, 
35.0,264.91666,74.01707, 
35.0,264.95834,73.975395, 
35.0,265.0,73.64006, 
35.041668,260.0,50.4867, 
35.041668,260.04166,50.88614, 
35.041668,260.08334,51.219803, 
35.041668,260.125,51.365772, 
35.041668,260.16666,51.77933, 
35.041668,260.20834,51.414036, 
35.041668,260.25,51.06626, 
35.041668,260.29166,50.79321, 
35.041668,260.33334,50.52141, 
35.041668,260.375,50.55511, 
35.041668,260.41666,50.278908, 
35.041668,260.45834,50.128086, 
35.041668,260.5,50.258057, 
35.041668,260.54166,50.332817, 
35.041668,260.58334,50.374443, 
35.041668,260.625,50.68599, 
35.041668,260.66666,50.82628, 
35.041668,260.70834,50.86167, 
35.041668,260.75,50.808678, 
35.041668,260.79166,50.3954, 
35.041668,260.83334,49.875046, 
35.041668,260.875,49.132553, 
35.041668,260.91666,48.736595, 
35.041668,260.95834,48.670776, 
35.041668,261.0,48.979836, 
35.041668,261.04166,49.302414, 
35.041668,261.08334,49.60707, 
35.041668,261.125,49.80615, 
35.041668,261.16666,50.012997, 
35.041668,261.20834,50.043236, 
35.041668,261.25,50.245663, 
35.041668,261.29166,50.080967, 
35.041668,261.33334,50.03789, 
35.041668,261.375,49.78399, 
35.041668,261.41666,49.89611, 
35.041668,261.45834,49.93207, 
35.041668,261.5,50.256905, 
35.041668,261.54166,50.687843, 
35.041668,261.58334,51.2592, 
35.041668,261.625,51.796883, 
35.041668,261.66666,53.148792, 
35.041668,261.70834,54.24761, 
35.041668,261.75,55.04402, 
35.041668,261.79166,55.21644, 
35.041668,261.83334,54.95094, 
35.041668,261.875,54.685852, 
35.041668,261.91666,54.432564, 
35.041668,261.95834,54.438927, 
35.041668,262.0,54.574436, 
35.041668,262.04166,54.2885, 
35.041668,262.08334,55.918583, 
35.041668,262.125,54.89701, 
